no,provinsi,kota,kecamatan,kelurahan,nama_sppg
55,JAWA BARAT,TASIKMALAYA,CIGALONTANG,JAYAPURA,SPPG Tasikmalaya Cigalontang Jayapura
56,JAWA BARAT,PURWAKARTA,PURWAKARTA,CISEUREUH,SPPG Purwakarta Purwakarta Ciseureuh 3
57,JAWA BARAT,BEKASI,SERANG BARU,JAYASAMPURNA,SPPG Bekasi Serang Baru Jayasampurna
58,JAWA BARAT,GARUT,PASIRWANGI,PADAMUKTI,SPPG Garut Pasirwangi Padamukti
59,JAWA BARAT,BANDUNG BARAT,PADALARANG,JAYAMEKAR,SPPG Bandung Barat Padalarang Jayamekar 2
60,JAWA BARAT,GARUT,SINGAJAYA,KARANGAGUNG,SPPG Garut Singajaya Karangagung
61,JAWA BARAT,TASIKMALAYA,SODONGHILIR,MUNCANG,SPPG Tasikmalaya Sodonghilir Muncang 2
62,JAWA BARAT,GARUT,CARINGIN,SUKARAME,SPPG Garut Caringin Sukarame 2
63,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang
64,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2
65,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2
66,JAWA BARAT,BOGOR,KEMANG,JAMPANG,SPPG Bogor Kemang Jampang
67,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik
68,JAWA BARAT,PURWAKARTA,PLERED,PLERED,SPPG Purwakarta Plered Plered
69,JAWA BARAT,BANDUNG BARAT,CIKALONGWETAN,PUTERAN,SPPG Bandung Barat Cikalongwetan Puteran 2
70,JAWA BARAT,BANDUNG,CIMAUNG,JAGABAYA,SPPG Bandung Cimaung Jagabaya 3
71,JAWA BARAT,GARUT,CISEWU,CISEWU,SPPG Garut Cisewu Cisewu
72,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 2
73,JAWA BARAT,CIREBON,DUKUPUNTANG,SINDANGMEKAR,SPPG Cirebon Dukupuntang Sindangmekar 2
74,JAWA BARAT,GARUT,BL. LIMBANGAN,CIWANGI,SPPG Garut Bl. Limbangan Ciwangi
75,JAWA BARAT,KOTA BANDUNG,BOJONGLOA KALER,KOPO,SPPG Kota Bandung Bojongloa Kaler Kopo 3
76,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,DURENJAYA,SPPG Kota Bekasi Bekasi Timur Durenjaya
77,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,KALIJAGA,SPPG Kota Cirebon Harjamukti Kalijaga 4
78,JAWA BARAT,KARAWANG,KLARI,KLARI,SPPG Karawang Klari Klari
79,JAWA BARAT,BOGOR,CIOMAS,LALADON,SPPG Bogor Ciomas Laladon 2
80,JAWA BARAT,BOGOR,CIAWI,BANJAR WARU,SPPG Bogor Ciawi Banjar Waru
81,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,HARAPANBARU,SPPG Kota Bekasi Bekasi Utara Harapanbaru 2
82,JAWA BARAT,CIANJUR,PACET,SUKANAGALIH,SPPG Cianjur Pacet Sukanagalih 2
83,JAWA BARAT,TASIKMALAYA,CIKALONG,MANDALAJAYA,SPPG Tasikmalaya Cikalong Mandalajaya 2
84,JAWA BARAT,CIREBON,WALED,CIKULAK KIDUL,SPPG Cirebon Waled Cikulak Kidul
85,JAWA BARAT,TASIKMALAYA,SUKARAME,PADASUKA,SPPG Tasikmalaya Sukarame Padasuka
86,JAWA BARAT,CIAMIS,PAMARICAN,BANGUNSARI,SPPG Ciamis Pamarican Bangunsari 2
87,JAWA BARAT,TASIKMALAYA,CIGALONTANG,JAYAPURA,SPPG Tasikmalaya Cigalontang Jayapura
88,JAWA BARAT,PURWAKARTA,PURWAKARTA,CISEUREUH,SPPG Purwakarta Purwakarta Ciseureuh 3
89,JAWA BARAT,BEKASI,SERANG BARU,JAYASAMPURNA,SPPG Bekasi Serang Baru Jayasampurna
90,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,ARENJAYA,SPPG Kota Bekasi Bekasi Timur Bekasijaya 2
91,JAWA BARAT,BANDUNG BARAT,PADALARANG,JAYAMEKAR,SPPG Bandung Barat Padalarang Jayamekar 2
92,JAWA BARAT,KOTA SUKABUMI,CIKOLE,CIKOLE,SPPG Kota Sukabumi Cikole Cikole
93,JAWA BARAT,BOGOR,PAMIJAHAN,GUNUNGBUNDER I,SPPG Bogor Pamijahan Gunung Bunder I
94,JAWA BARAT,SUKABUMI,CIBITUNG,TALAGAMURNI,SPPG Sukabumi Cibitung Talagamurni 2
95,JAWA BARAT,TASIKMALAYA,SODONGHILIR,MUNCANG,SPPG Tasikmalaya Sodonghilir Muncang 2
96,JAWA BARAT,GARUT,CARINGIN,SUKARAME,SPPG Garut Caringin Sukarame 2
97,JAWA BARAT,KOTA BOGOR,BOGOR UTARA,BANTARJATI,SPPG Kota Bogor Bogor Utara Bantarjati
98,JAWA BARAT,SUMEDANG,JATINANGOR,CIKERUH,SPPG Sumedang Jatinangor Cikeruh
99,JAWA BARAT,BANDUNG,CILEUNYI,CIMEKAR,SPPG Bandung Cileunyi Cimekar 1
100,JAWA BARAT,MAJALENGKA,SINDANGWANGI,BALAGEDOG,SPPG Majalengka Sindangwangi Balagedog
101,JAWA BARAT,TASIKMALAYA,SUKARATU,GUNUNGSARI,SPPG Tasikmalaya Sukaratu Gunungsari
102,JAWA BARAT,TASIKMALAYA,CIAWI,GOMBONG,SPPG Tasikmalaya Ciawi Gombong
103,JAWA BARAT,PURWAKARTA,PURWAKARTA,NAGRI KALER,SPPG Purwakarta Purwakarta Nagri Kaler 5
104,JAWA BARAT,BOGOR,CIAWI,BANJAR WARU,SPPG Bogor Ciawi Banjar Waru
105,JAWA BARAT,SUMEDANG,CONGGEANG,CIPAMEKAR,SPPG Sumedang Conggeang Cipamekar
106,JAWA BARAT,BANDUNG,PANGALENGAN,WARNASARI,SPPG Bandung Pangalengan Warnasari
