no,provinsi,kota,kecamatan,kelurahan,nama_sppg
1036,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1037,JAWA BARAT,BANDUNG BARAT,PADALARANG,CAMPAKA MEKAR,SPPG Bandung Barat Padalarang Campaka Mekar
1038,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1039,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1040,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1041,JAWA BARAT,CIAMIS,RAJADESA,SUKAHARJA,SPPG Ciamis Rajadesa Sukaharja
1042,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1043,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1044,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,SPPG Bandung Barat Cisarua Jambudipa 2
1045,JAWA BARAT,BANDUNG BARAT,RONGGA,BOJONG,SPPG Bandung Barat Rongga Bojong
1046,JAWA BARAT,CIANJUR,KARANGTENGAH,CIHERANG,SPPG Cianjur Karangtengah Ciherang
1047,JAWA BARAT,SUMEDANG,RANCAKALONG,NAGARAWANGI,SPPG Sumedang Rancakalong Nagarawangi
1048,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1049,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1050,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1051,JAWA BARAT,SUMEDANG,JATINANGOR,CIBEUSI,SPPG Sumedang Jatinangor Cibeusi
1052,JAWA BARAT,GARUT,KADUNGORA,TANGGULUN,SPPG Garut Kadungora Tanggulun
1053,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,SPPG Bandung Barat Cisarua Jambudipa 2
1054,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1055,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1056,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 3
1057,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1058,JAWA BARAT,SUMEDANG,RANCAKALONG,NAGARAWANGI,SPPG Sumedang Rancakalong Nagarawangi
1059,JAWA BARAT,MAJALENGKA,PANYINGKIRAN,LEUWISEENG,SPPG Majalengka Panyingkiran Leuwiseeng
1060,JAWA BARAT,BEKASI,CIKARANG UTARA,SIMPANGAN,SPPG Bekasi Cikarang Utara Simpangan 2
1061,JAWA BARAT,GARUT,CISOMPET,CISOMPET,SPPG Garut Cisompet Cisompet
1062,JAWA BARAT,BEKASI,CIKARANG PUSAT,CICAU,SPPG Bekasi Cikarang Pusat Cicau
1063,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1064,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1065,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1066,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1067,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,SPPG Bandung Barat Cisarua Jambudipa 2
1068,JAWA BARAT,SUMEDANG,RANCAKALONG,NAGARAWANGI,SPPG Sumedang Rancakalong Nagarawangi
1069,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 3
1070,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1071,JAWA BARAT,SUMEDANG,JATINANGOR,CIBEUSI,SPPG Sumedang Jatinangor Cibeusi
1072,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,SPPG Bandung Barat Cisarua Jambudipa 2
1073,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1074,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1075,JAWA BARAT,CIAMIS,RAJADESA,SUKAHARJA,SPPG Ciamis Rajadesa Sukaharja
1076,JAWA BARAT,BANDUNG,SOLOKANJERUK,RANCAKASUMBA,SPPG Bandung Solokanjeruk Rancakasumba
1077,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1078,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1079,JAWA BARAT,SUMEDANG,RANCAKALONG,NAGARAWANGI,SPPG Sumedang Rancakalong Nagarawangi
1080,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1081,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,SPPG Bandung Barat Cisarua Jambudipa 2
1082,JAWA BARAT,GARUT,CISOMPET,CISOMPET,SPPG Garut Cisompet Cisompet
1083,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1084,JAWA BARAT,BANDUNG BARAT,PADALARANG,CAMPAKA MEKAR,SPPG Bandung Barat Padalarang Campaka Mekar
1085,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 3
1086,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1087,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1088,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1089,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1090,JAWA BARAT,GARUT,KADUNGORA,TANGGULUN,SPPG Garut Kadungora Tanggulun
1091,JAWA BARAT,CIREBON,WERU,TEGALWANGI,SPPG Cirebon Weru Tegalwangi
1092,JAWA BARAT,BOGOR,NANGGUNG,HAMBARO,SPPG Bogor Nanggung Hambaro
1093,JAWA BARAT,BANDUNG BARAT,RONGGA,BOJONG,SPPG Bandung Barat Rongga Bojong
1094,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 3
1095,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1096,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1097,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1098,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1099,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1100,JAWA BARAT,SUMEDANG,RANCAKALONG,NAGARAWANGI,SPPG Sumedang Rancakalong Nagarawangi
1101,JAWA BARAT,BANDUNG BARAT,PADALARANG,CAMPAKA MEKAR,SPPG Bandung Barat Padalarang Campaka Mekar
1102,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1103,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1104,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1105,JAWA BARAT,KOTA TASIKMALAYA,INDIHIANG,INDIHIANG,SPPG Kota Tasikmalaya Indihiang Indihiang 2
1106,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1107,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1108,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1109,JAWA BARAT,BANDUNG,CIPARAY,CIKONENG,SPPG Bandung Ciparay Cikoneng
1110,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1111,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1112,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1113,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1114,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 3
1115,JAWA BARAT,CIAMIS,RAJADESA,SUKAHARJA,SPPG Ciamis Rajadesa Sukaharja
1116,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1117,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1118,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1119,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1120,JAWA BARAT,MAJALENGKA,BANTARUJEG,SILIHWANGI,SPPG Majalengka Bantarujeg Silihwangi
1121,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1122,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1123,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1124,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1125,JAWA BARAT,KOTA TASIKMALAYA,INDIHIANG,INDIHIANG,SPPG Kota Tasikmalaya Indihiang Indihiang 2
1126,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1127,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1128,JAWA BARAT,INDRAMAYU,KRANGKENG,SRENGSENG,SPPG Indramayu Krangkeng Srengseng
1129,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1130,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1131,JAWA BARAT,KOTA TASIKMALAYA,MANGKUBUMI,SAMBONGJAYA,SPPG Kota Tasikmalaya Mangkubumi Sambongjaya
1132,JAWA BARAT,GARUT,BAYONGBONG,MULYASARI,SPPG Garut Bayongbong Mulyasari
1133,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1134,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1135,JAWA BARAT,KOTA TASIKMALAYA,INDIHIANG,INDIHIANG,SPPG Kota Tasikmalaya Indihiang Indihiang 2
1136,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1137,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1138,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1139,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1140,JAWA BARAT,KOTA BEKASI,RAWALUMBU,BOJONGMENTENG,SPPG Kota Bekasi Rawalumbu Bojongmenteng 4
1141,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1142,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1143,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1144,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1145,JAWA BARAT,KOTA TASIKMALAYA,INDIHIANG,INDIHIANG,SPPG Kota Tasikmalaya Indihiang Indihiang 2
1146,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1147,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1148,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1149,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1150,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1151,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1152,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SIRNABAYA,SPPG Karawang Telukjambe Timur Sirnabaya
1153,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1154,JAWA BARAT,KOTA TASIKMALAYA,INDIHIANG,INDIHIANG,SPPG Kota Tasikmalaya Indihiang Indihiang 2
1155,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1156,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1157,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1158,JAWA BARAT,BANDUNG,CIPARAY,CIKONENG,SPPG Bandung Ciparay Cikoneng
1159,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1160,JAWA BARAT,MAJALENGKA,BANTARUJEG,SILIHWANGI,SPPG Majalengka Bantarujeg Silihwangi
1161,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1162,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1163,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1164,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1165,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1166,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1167,JAWA BARAT,MAJALENGKA,BANTARUJEG,SILIHWANGI,SPPG Majalengka Bantarujeg Silihwangi
1168,JAWA BARAT,BANDUNG,CIPARAY,CIKONENG,SPPG Bandung Ciparay Cikoneng
1169,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1170,JAWA BARAT,GARUT,SUKARESMI,SUKAJAYA,SPPG Garut Sukaresmi Sukajaya
1171,JAWA BARAT,GARUT,CISOMPET,CISOMPET,SPPG Garut Cisompet Cisompet
1172,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1173,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1174,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1175,JAWA BARAT,MAJALENGKA,BANTARUJEG,SILIHWANGI,SPPG Majalengka Bantarujeg Silihwangi
1176,JAWA BARAT,BANDUNG,CIPARAY,CIKONENG,SPPG Bandung Ciparay Cikoneng
1177,JAWA BARAT,BOGOR,CISEENG,BABAKAN,SPPG Bogor Ciseeng Babakan 4
1178,JAWA BARAT,BANDUNG BARAT,CISARUA,JAMBUDIPA,SPPG Bandung Barat Cisarua Jambudipa 2
1179,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1180,JAWA BARAT,GARUT,SUKARESMI,SUKAJAYA,SPPG Garut Sukaresmi Sukajaya
1181,JAWA BARAT,SUMEDANG,RANCAKALONG,NAGARAWANGI,SPPG Sumedang Rancakalong Nagarawangi
1182,JAWA BARAT,KOTA SUKABUMI,GUNUNG PUYUH,KARAMAT,SPPG Kota Sukabumi Gunung Puyuh Karamat
1183,JAWA BARAT,KOTA TASIKMALAYA,CIPEDES,PANGLAYUNGAN,SPPG Kota Tasikmalaya Cipedes Panglayungan 2
1184,JAWA BARAT,CIANJUR,CIANJUR,NAGRAK,SPPG Cianjur Cianjur Nagrak 4
1185,JAWA BARAT,KOTA BEKASI,RAWALUMBU,BOJONGMENTENG,SPPG Kota Bekasi Rawalumbu Bojongmenteng 4
1186,JAWA BARAT,PANGANDARAN,PARIGI,KARANGJALADRI,SPPG Pangandaran Parigi Karangjaladri
1187,JAWA BARAT,BOGOR,TENJO,CIOMAS,SPPG Bogor Tenjo Ciomas
1188,JAWA BARAT,BOGOR,GUNUNG SINDUR,JAMPANG,SPPG Bogor Gunung Sindur Jampang
1189,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,ARENJAYA,SPPG Kota Bekasi Bekasi Timur
1190,JAWA BARAT,SUBANG,CIATER,PALASARI,SPPG Subang Ciater Palasari
1191,JAWA BARAT,BANDUNG,CIPARAY,CIKONENG,SPPG Bandung Ciparay Cikoneng
1192,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1193,JAWA BARAT,KUNINGAN,CIAWIGEBANG,SIDARAJA,SPPG Kuningan Ciawigebang Sidaraja
1194,JAWA BARAT,TASIKMALAYA,TANJUNGJAYA,TANJUNGJAYA,SPPG Tasikmalaya Tanjungjaya Tanjungjaya
1195,JAWA BARAT,KARAWANG,CIKAMPEK,DAWUAN BARAT,SPPG Karawang Cikampek Dawuan Barat 2
1196,JAWA BARAT,KOTA BEKASI,RAWALUMBU,BOJONGMENTENG,SPPG Kota Bekasi Rawalumbu Bojongmenteng 4
1197,JAWA BARAT,CIANJUR,CUGENANG,SUKAMANAH,SPPG Cianjur Cugenang Sukamanah
1198,JAWA BARAT,BANDUNG,SOLOKANJERUK,PANYADAP,SPPG Bandung Solokanjeruk Panyadap
1199,JAWA BARAT,CIANJUR,CIANJUR,NAGRAK,SPPG Cianjur Cianjur Nagrak 4
1200,JAWA BARAT,MAJALENGKA,BANTARUJEG,SILIHWANGI,SPPG Majalengka Bantarujeg Silihwangi
1201,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1202,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1203,JAWA BARAT,BANDUNG,CIPARAY,CIKONENG,SPPG Bandung Ciparay Cikoneng
1204,JAWA BARAT,KOTA SUKABUMI,WARUDOYONG,DAYEUHLUHUR,SPPG Kota Sukabumi Warudoyong Dayeuhluhur 1
1205,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1206,JAWA BARAT,PANGANDARAN,MANGUNJAYA,JANGRAGA,SPPG Pangandaran Mangunjaya Jangraga
1207,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 2
1208,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1209,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1210,JAWA BARAT,KOTA BEKASI,BEKASI SELATAN,PEKAYONJAYA,SPPG Kota Bekasi Bekasi Selatan Pekayonjaya 3
1211,JAWA BARAT,MAJALENGKA,PANYINGKIRAN,LEUWISEENG,SPPG Majalengka Panyingkiran Leuwiseeng
1212,JAWA BARAT,SUMEDANG,CIMALAKA,SERANG,SPPG Sumedang Cimalaka Serang
1213,JAWA BARAT,KOTA TASIKMALAYA,INDIHIANG,INDIHIANG,SPPG Kota Tasikmalaya Indihiang Indihiang 2
1214,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1215,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,KARANGLIGAR,SPPG Karawang Telukjambe Barat Karangligar
1216,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,LIMUSNUNGGAL,SPPG Kota Sukabumi Cibeureum Limusnunggal 2
1217,JAWA BARAT,BOGOR,SUKAMAKMUR,CIBADAK,SPPG Bogor Sukamakmur Cibadak
1218,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1219,JAWA BARAT,KOTA BEKASI,RAWALUMBU,BOJONGMENTENG,SPPG Kota Bekasi Rawalumbu Bojongmenteng 4
1220,JAWA BARAT,GARUT,SUKARESMI,SUKAJAYA,SPPG Garut Sukaresmi Sukajaya
1221,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setiamekar 6
1222,JAWA BARAT,GARUT,KARANGPAWITAN,MEKARSARI,SPPG Garut Karangpawitan Mekarsari
1223,JAWA BARAT,SUKABUMI,CIAMBAR,MUNJUL,SPPG Sukabumi Ciambar Munjul
1224,JAWA BARAT,SUBANG,CISALAK,PAKUHAJI,SPPG Subang Cisalak Pakuhaji
1225,JAWA BARAT,SUBANG,CIPUNAGARA,SIMPAR,SPPG Subang Cipunagara Simpar
1226,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 3
1227,JAWA BARAT,BANDUNG BARAT,RONGGA,BOJONG,SPPG Bandung Barat Rongga Bojong
1228,JAWA BARAT,BOGOR,CILEUNGSI,CILEUNGSI,SPPG Bogor Cileungsi Cileungsi 7
1229,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,ARENJAYA,SPPG Kota Bekasi Bekasi Timur
1230,JAWA BARAT,BEKASI,SERANG BARU,JAYAMULYA,SPPG Bekasi Serang Baru Jayamulya
1231,JAWA BARAT,KOTA BOGOR,BOGOR TENGAH,TEGALLEGA,SPPG Kota Bogor Bogor Tengah Ciwaringin 2
1232,JAWA BARAT,BEKASI,CIKARANG PUSAT,CICAU,SPPG Bekasi Cikarang Pusat Cicau
1233,JAWA BARAT,KOTA BANDUNG,CIBEUNYING KIDUL,CIKUTRA,SPPG Kota Bandung Cibeunying Kidul Cikutra
1234,JAWA BARAT,GARUT,GARUT KOTA,REGOL,SPPG Garut Garut Kota Regol
1235,JAWA BARAT,BANDUNG,PANGALENGAN,PULOSARI,SPPG Bandung Pangalengan Pulosari 2
1236,JAWA BARAT,TASIKMALAYA,SUKARESIK,SUKARATU,SPPG Tasikmalaya Sukaresik Sukaratu
1237,JAWA BARAT,KOTA BANJAR,PURWAHARJA,PURWAHARJA,SPPG Kota Banjar Purwaharja Purwaharja
1238,JAWA BARAT,KOTA BEKASI,BEKASI BARAT,JAKASAMPURNA,SPPG Kota Bekasi Bekasi Barat Jakasampurna
1239,JAWA BARAT,CIREBON,GEGESIK,BAYALANGU LOR,SPPG Cirebon Gegesik Bayalangu Lor 2
1240,JAWA BARAT,MAJALENGKA,SUMBERJAYA,PARAPATAN,SPPG Majalengka Sumberjaya Parapatan
1241,JAWA BARAT,TASIKMALAYA,SUKARESIK,SUKARATU,SPPG Tasikmalaya Sukaresik Sukaratu
1242,JAWA BARAT,BOGOR,CISARUA,TUGU UTARA,SPPG Bogor Cisarua Tugu Utara 2
1243,JAWA BARAT,SUKABUMI,CICURUG,PASAWAHAN,SPPG Sukabumi Cicurug Pasawahan 4
1244,JAWA BARAT,CIAMIS,PANAWANGAN,MEKARBUANA,SPPG Ciamis Panawangan Mekarbuana
1245,JAWA BARAT,MAJALENGKA,SUMBERJAYA,PARAPATAN,SPPG Majalengka Sumberjaya Parapatan
1246,JAWA BARAT,KOTA BANJAR,PURWAHARJA,PURWAHARJA,SPPG Kota Banjar Purwaharja Purwaharja
1247,JAWA BARAT,GARUT,GARUT KOTA,REGOL,SPPG Garut Garut Kota Regol
1248,JAWA BARAT,CIREBON,GEGESIK,BAYALANGU LOR,SPPG Cirebon Gegesik Bayalangu Lor 2
1249,JAWA BARAT,TASIKMALAYA,PANCATENGAH,MARGALUYU,SPPG Tasikmalaya Pancatengah Margaluyu
1250,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,SELACAU,SPPG Bandung Barat Batujajar Selacau
1251,JAWA BARAT,BEKASI,CIKARANG PUSAT,CICAU,SPPG Bekasi Cikarang Pusat Cicau
1252,JAWA BARAT,BEKASI,CIKARANG SELATAN,SERANG,SPPG Bekasi Cikarang Selatan Serang 2
1253,JAWA BARAT,GARUT,GARUT KOTA,REGOL,SPPG Garut Garut Kota Regol
1254,JAWA BARAT,BANDUNG,PANGALENGAN,PULOSARI,SPPG Bandung Pangalengan Pulosari 2
1255,JAWA BARAT,TASIKMALAYA,SUKARESIK,SUKARATU,SPPG Tasikmalaya Sukaresik Sukaratu
1256,JAWA BARAT,KOTA BANJAR,PURWAHARJA,PURWAHARJA,SPPG Kota Banjar Purwaharja Purwaharja
1257,JAWA BARAT,MAJALENGKA,MAJA,KERTABASUKI,SPPG Majalengka Maja Kertabasuki
1258,JAWA BARAT,GARUT,TAROGONG KALER,PASAWAHAN,SPPG Garut Tarogong Kaler Pasawahan
1259,JAWA BARAT,BOGOR,CISARUA,TUGU UTARA,SPPG Bogor Cisarua Tugu Utara 2
1260,JAWA BARAT,BEKASI,SERANG BARU,JAYAMULYA,SPPG Bekasi Serang Baru Jayamulya
1261,JAWA BARAT,SUKABUMI,CICURUG,PASAWAHAN,SPPG Sukabumi Cicurug Pasawahan 4
1262,JAWA BARAT,KARAWANG,RAWAMERTA,PASIRKALIKI,SPPG Karawang Rawamerta Pasirkaliki
