Provinsi,Kab/Kota,kecamatan,SD,SMP,SMA,SMK,TOTAL,jumlah_sppg,priority_score
JawaBarat,PANGANDARAN,CIGUGUR,17,3,1,2,23,0,46.0
JawaBarat,PANGANDARAN,CIJULANG,21,2,0,3,26,0,52.0
JawaBarat,PANGANDARAN,MANGUNJAYA,17,4,1,2,24,3,26.25
JawaBarat,PANGANDARAN,SIDAMULIH,18,3,1,1,23,2,28.0
JawaBarat,CIMAHI,CIMAHISELATAN,54,18,6,7,85,17,71.78
JawaBarat,CIMAHI,CIMAHIUTARA,27,18,5,11,61,17,46.44
JawaBarat,CIMAHI,CIMAHITENGAH,38,14,8,4,64,9,60.5
JawaBarat,CIREBON,KESAMBI,51,18,17,15,101,16,90.0
JawaBarat,CIREBON,HARJAMUKTI,45,13,2,6,66,19,49.35
JawaBarat,CIREBON,LEMAHWUNGKUK,27,16,3,4,50,4,55.2
JawaBarat,CIREBON,KEJAKSAN,32,7,6,2,47,1,69.0
JawaBarat,CIREBON,PEKALIPAN,12,2,0,1,15,1,21.0
JawaBarat,SUKABUMI,CIKOLE,23,16,9,7,55,10,49.09
JawaBarat,SUKABUMI,GUNUNGPUYUH,20,6,5,5,36,4,38.4
JawaBarat,SUKABUMI,WARUDOYONG,23,5,0,4,32,9,25.3
JawaBarat,SUKABUMI,CITAMIANG,24,6,2,4,36,16,21.18
JawaBarat,SUKABUMI,BAROS,11,5,2,3,21,2,25.33
JawaBarat,SUKABUMI,LEMBURSITU,10,5,0,6,21,3,22.5
JawaBarat,SUKABUMI,CIBEUREUM,17,4,2,0,23,12,11.85
JawaBarat,BANJAR,PATARUMAN,29,8,0,3,40,6,38.86
JawaBarat,BANJAR,BANJAR,22,8,2,9,41,15,27.62
JawaBarat,BANJAR,LANGENSARI,28,10,2,2,42,5,43.17
JawaBarat,BANJAR,PURWAHARJA,9,2,0,2,13,19,-6.3
