Provinsi,Kab/Kota,kecamatan,SD,SMP,SMA,SMK,TOTAL,jumlah_sppg,priority_score
JawaBarat,BANDUNG BARAT,CILILIN,43,17,7,8,75,12,67.85
JawaBarat,BANDUNG BARAT,CIHAMPELAS,44,12,1,7,64,10,58.91
JawaBarat,BANDUNG BARAT,GUNUNGHALU,35,12,2,7,56,3,66.25
JawaBarat,BANDUNG BARAT,SINDANGKERTA,41,11,5,4,61,4,68.4
JawaBarat,BANDUNG BARAT,PARONGPONG,44,16,5,5,70,4,79.2
JawaBarat,BANDUNG BARAT,BATUJAJAR,33,11,4,8,56,25,32.19
JawaBarat,BANDUNG BARAT,CIPEUNDEUY,40,8,4,4,56,2,72.0
JawaBarat,BANDUNG BARAT,RONGGA,33,9,2,1,45,3,52.5
JawaBarat,BANDUNG BARAT,CISARUA,28,7,3,2,40,14,27.73
JawaBarat,BANDUNG BARAT,SAGULING,15,4,2,3,24,0,48.0
JawaBarat,CIREBON,SUMBER,35,16,2,4,57,28,30.0
JawaBarat,CIREBON,DUKUPUNTANG,32,17,4,8,61,11,54.17
JawaBarat,CIREBON,GEGESIK,28,8,3,5,44,11,35.75
JawaBarat,CIREBON,GUNUNGJATI,30,9,1,3,43,2,54.67
JawaBarat,CIREBON,ARJAWINANGUN,28,10,2,5,45,12,35.54
JawaBarat,CIREBON,PLUMBON,30,5,2,4,41,3,47.5
JawaBarat,CIREBON,SUSUKAN,31,4,2,3,40,9,34.1
JawaBarat,CIREBON,PALIMANAN,25,10,2,4,41,5,42.0
JawaBarat,CIREBON,DEPOK,25,9,1,6,41,5,42.0
JawaBarat,CIREBON,BABAKAN,25,7,2,3,37,1,54.0
JawaBarat,CIREBON,ASTANAJAPURA,23,8,1,5,37,8,32.22
JawaBarat,CIREBON,TALUN,27,4,1,0,32,0,64.0
JawaBarat,CIREBON,KEDAWUNG,18,4,4,10,36,3,41.25
JawaBarat,CIREBON,LEMAHABANG,22,6,3,5,36,5,36.17
JawaBarat,CIREBON,KLANGENAN,21,3,1,1,26,1,37.5
JawaBarat,CIREBON,MUNDU,21,6,0,3,30,0,60.0
JawaBarat,CIREBON,PABEDILAN,20,3,2,0,25,2,30.67
JawaBarat,CIREBON,WALED,20,5,1,1,27,9,19.8
JawaBarat,CIREBON,KAPETAKAN,21,3,1,3,28,3,31.25
JawaBarat,CIREBON,CIWARINGIN,15,13,1,4,33,4,34.8
JawaBarat,CIREBON,GEBANG,22,6,0,3,31,0,62.0
JawaBarat,CIREBON,WERU,21,7,1,3,32,4,33.6
JawaBarat,CIREBON,BEBER,19,5,2,1,27,2,33.33
JawaBarat,CIREBON,LOSARI,16,5,2,2,25,2,30.67
JawaBarat,CIREBON,GREGED,16,3,0,1,20,0,40.0
JawaBarat,CIREBON,SUSUKANLEBAK,16,3,0,1,20,0,40.0
JawaBarat,CIREBON,CILEDUG,17,5,2,2,26,3,28.75
JawaBarat,CIREBON,KARANGSEMBUNG,20,5,1,0,26,2,32.0
JawaBarat,CIREBON,GEMPOL,16,3,0,3,22,3,23.75
JawaBarat,CIREBON,JAMBLANG,21,2,1,1,25,1,36.0
JawaBarat,CIREBON,PLERED,19,4,0,2,25,5,23.33
JawaBarat,CIREBON,KALIWEDI,15,4,1,2,22,3,23.75
JawaBarat,CIREBON,SURANENGGALA,20,2,1,0,23,14,9.6
JawaBarat,CIREBON,PANGURAGAN,13,5,1,2,21,0,42.0
JawaBarat,CIREBON,SEDONG,19,4,0,2,25,1,36.0
JawaBarat,CIREBON,PANGENAN,14,6,1,4,25,2,30.67
JawaBarat,CIREBON,TENGAHTANI,14,2,2,0,18,1,25.5
JawaBarat,CIREBON,PABUARAN,12,2,0,2,16,3,16.25
JawaBarat,CIREBON,PASALEMAN,11,2,0,1,14,3,13.75
JawaBarat,CIREBON,KARANGWARENG,11,2,1,0,14,0,28.0
JawaBarat,DEPOK,PANCORANMAS,55,40,16,22,133,6,145.14
JawaBarat,DEPOK,SUKMAJAYA,57,27,13,13,110,26,87.11
JawaBarat,DEPOK,TAPOS,50,29,5,12,96,24,74.88
JawaBarat,DEPOK,CIMANGGIS,47,29,8,9,93,19,77.7
JawaBarat,DEPOK,SAWANGAN,48,28,5,19,100,19,85.05
JawaBarat,DEPOK,CILODONG,38,26,8,11,83,8,83.33
JawaBarat,DEPOK,BOJONGSARI,34,21,5,9,69,7,69.75
JawaBarat,DEPOK,CIPAYUNG,35,24,4,6,69,6,72.0
JawaBarat,DEPOK,BEJI,31,21,7,9,68,6,70.86
JawaBarat,DEPOK,LIMO,26,18,5,7,56,9,51.7
JawaBarat,DEPOK,CINERE,16,10,5,7,38,2,48.0
JawaBarat,SUMEDANG,TANJUNGSARI,30,14,5,8,57,6,58.29
JawaBarat,SUMEDANG,SUMEDANGUTARA,40,8,3,22,73,14,62.93
JawaBarat,SUMEDANG,JATINANGOR,33,16,5,7,61,10,55.64
JawaBarat,SUMEDANG,SUMEDANGSELATAN,47,10,2,5,64,11,57.42
JawaBarat,SUMEDANG,CIMANGGUNG,30,13,3,7,53,9,48.4
JawaBarat,SUMEDANG,PAMULIHAN,25,8,1,3,37,4,39.6
JawaBarat,SUMEDANG,JATINUNGGAL,29,5,1,5,40,0,80.0
JawaBarat,SUMEDANG,CIMALAKA,29,4,2,3,38,10,30.55
JawaBarat,SUMEDANG,RANCAKALONG,29,5,1,3,38,13,26.79
JawaBarat,SUMEDANG,SITURAJA,26,4,3,7,40,0,80.0
JawaBarat,SUMEDANG,WADO,25,6,0,2,33,10,25.09
JawaBarat,SUMEDANG,TANJUNGKERTA,22,4,1,2,29,0,58.0
JawaBarat,SUMEDANG,BUAHDUA,27,5,0,1,33,1,48.0
JawaBarat,SUMEDANG,SUKASARI,11,4,0,2,17,0,34.0
JawaBarat,SUMEDANG,CISITU,22,3,0,0,25,0,50.0
JawaBarat,SUMEDANG,CONGGEANG,22,4,1,1,28,1,40.5
JawaBarat,SUMEDANG,DARMARAJA,25,3,1,2,31,3,35.0
JawaBarat,SUMEDANG,CIBUGEL,17,5,0,2,24,1,34.5
JawaBarat,SUMEDANG,PASEH,18,2,0,1,21,5,18.67
JawaBarat,SUMEDANG,TANJUNGMEDAR,18,1,0,2,21,2,25.33
JawaBarat,SUMEDANG,JATIGEDE,20,4,0,0,24,0,48.0
JawaBarat,SUMEDANG,GANEAS,13,2,0,0,15,1,21.0
JawaBarat,SUMEDANG,TOMO,17,2,1,1,21,1,30.0
JawaBarat,SUMEDANG,UJUNGJAYA,20,2,0,2,24,4,24.0
JawaBarat,SUMEDANG,CISARUA,10,1,0,0,11,0,22.0
JawaBarat,SUMEDANG,SURIAN,11,1,0,2,14,0,28.0
JawaBarat,CIAMIS,CIAMIS,40,11,5,8,64,14,53.33
JawaBarat,CIAMIS,CIPAKU,41,9,1,4,55,4,61.2
JawaBarat,CIAMIS,RANCAH,47,7,2,4,60,16,46.59
JawaBarat,CIAMIS,CIJEUNGJING,28,7,2,6,43,5,44.33
JawaBarat,CIAMIS,KAWALI,25,5,2,6,38,4,40.8
JawaBarat,CIAMIS,PANAWANGAN,43,4,2,2,51,11,43.33
JawaBarat,CIAMIS,PANUMBANGAN,41,5,1,3,50,4,55.2
JawaBarat,CIAMIS,BANJARSARI,35,10,4,7,56,5,59.5
JawaBarat,CIAMIS,PAMARICAN,36,6,1,2,45,10,38.18
JawaBarat,CIAMIS,PANJALU,28,6,1,3,38,4,40.8
JawaBarat,CIAMIS,RAJADESA,35,8,3,2,48,7,46.12
JawaBarat,CIAMIS,CIKONENG,29,5,1,1,36,0,72.0
JawaBarat,CIAMIS,SINDANGKASIH,27,3,1,2,33,7,29.25
JawaBarat,CIAMIS,CISAGA,25,3,1,1,30,4,31.2
JawaBarat,CIAMIS,BAREGBEG,20,7,3,3,33,2,41.33
JawaBarat,CIAMIS,LAKBOK,30,4,2,1,37,3,42.5
JawaBarat,CIAMIS,LUMBUNG,18,3,1,1,23,2,28.0
JawaBarat,CIAMIS,JATINAGARA,18,7,1,2,28,3,31.25
JawaBarat,CIAMIS,CIHAURBEUTI,29,6,1,1,37,4,39.6
JawaBarat,CIAMIS,BANJARANYAR,27,3,0,0,30,2,37.33
JawaBarat,CIAMIS,SADANANYA,21,3,0,1,25,3,27.5
JawaBarat,CIAMIS,PURWADADI,24,3,0,2,29,0,58.0
JawaBarat,CIAMIS,TAMBAKSARI,20,2,0,1,23,1,33.0
JawaBarat,CIAMIS,SUKADANA,17,3,1,0,21,1,30.0
JawaBarat,CIAMIS,SUKAMANTRI,14,3,0,0,17,0,34.0
JawaBarat,CIAMIS,CIDOLOG,14,2,0,1,17,12,5.38
JawaBarat,CIAMIS,CIMARAGAS,11,3,1,1,16,3,16.25
JawaBarat,KUNINGAN,KUNINGAN,56,13,4,6,79,15,68.0
JawaBarat,KUNINGAN,CIAWIGEBANG,46,12,3,6,67,12,59.23
JawaBarat,KUNINGAN,DARMA,26,5,1,2,34,2,42.67
JawaBarat,KUNINGAN,CILIMUS,28,5,2,3,38,24,14.56
JawaBarat,KUNINGAN,CIGUGUR,25,6,2,6,39,5,39.67
JawaBarat,KUNINGAN,JALAKSANA,29,6,3,2,40,4,43.2
JawaBarat,KUNINGAN,CIDAHU,24,5,1,1,31,0,62.0
JawaBarat,KUNINGAN,CIBINGBIN,19,5,1,1,26,0,52.0
JawaBarat,KUNINGAN,LURAGUNG,26,5,1,2,34,0,68.0
JawaBarat,KUNINGAN,LEBAKWANGI,23,3,1,2,29,2,36.0
JawaBarat,KUNINGAN,KRAMATMULYA,22,4,1,1,28,0,56.0
JawaBarat,KUNINGAN,GARAWANGI,22,4,3,1,30,4,31.2
JawaBarat,KUNINGAN,MALEBER,22,3,0,2,27,4,27.6
JawaBarat,KUNINGAN,CIWARU,20,2,1,0,23,0,46.0
JawaBarat,KUNINGAN,SINDANGAGUNG,17,4,1,1,23,2,28.0
JawaBarat,KUNINGAN,KADUGEDE,19,4,2,1,26,15,11.69
JawaBarat,KUNINGAN,CIPICUNG,17,2,0,1,20,5,17.5
JawaBarat,KUNINGAN,CINIRU,16,3,1,0,20,0,40.0
JawaBarat,KUNINGAN,CIMAHI,19,4,0,0,23,0,46.0
